iter	Passed	Remaining
0	22	17234
1	40	15163
2	59	14949
3	76	14359
4	94	14205
5	111	13927
6	127	13616
7	145	13604
8	163	13555
9	184	13720
10	204	13822
11	221	13744
12	237	13571
13	254	13448
14	271	13411
15	294	13591
16	310	13499
17	328	13453
18	344	13337
19	362	13313
20	379	13249
21	395	13170
22	409	13047
23	425	12952
24	441	12904
25	457	12832
26	474	12792
27	491	12766
28	507	12695
29	525	12693
30	539	12597
31	555	12561
32	570	12484
33	587	12457
34	600	12359
35	618	12343
36	635	12325
37	658	12417
38	676	12420
39	696	12448
40	714	12440
41	732	12436
42	752	12452
43	770	12452
44	791	12481
45	806	12435
46	823	12408
47	840	12384
48	858	12369
49	873	12317
50	890	12290
51	906	12257
52	923	12227
53	940	12212
54	956	12176
55	974	12168
56	993	12159
57	1013	12176
58	1053	12431
59	1084	12563
60	1107	12603
61	1124	12571
62	1142	12546
63	1159	12521
64	1175	12477
65	1193	12458
66	1211	12443
67	1227	12401
68	1247	12399
69	1263	12367
70	1284	12375
71	1306	12390
72	1323	12361
73	1343	12360
74	1361	12342
75	1379	12324
76	1396	12292
77	1413	12264
78	1429	12235
79	1450	12238
80	1466	12206
81	1484	12181
82	1497	12128
83	1516	12115
84	1533	12089
85	1556	12107
86	1578	12120
87	1602	12146
88	1629	12194
89	1650	12192
90	1673	12213
91	1694	12212
92	1718	12230
93	1734	12197
94	1754	12185
95	1773	12172
96	1794	12171
97	1813	12156
98	1833	12149
99	1862	12199
100	1887	12222
101	1923	12311
102	1944	12309
103	1963	12289
104	1986	12299
105	2009	12303
106	2033	12317
107	2058	12332
108	2081	12336
109	2108	12360
110	2128	12350
111	2155	12374
112	2173	12347
113	2194	12340
114	2217	12340
115	2236	12322
116	2257	12311
117	2276	12290
118	2299	12290
119	2324	12298
120	2349	12312
121	2372	12308
122	2394	12301
123	2419	12314
124	2440	12297
125	2460	12283
126	2478	12257
127	2502	12258
128	2523	12245
129	2543	12226
130	2564	12215
131	2587	12210
132	2606	12188
133	2624	12165
134	2645	12147
135	2671	12158
136	2692	12147
137	2720	12161
138	2742	12152
139	2766	12154
140	2788	12142
141	2805	12112
142	2826	12097
143	2848	12084
144	2864	12049
145	2883	12028
146	2904	12012
147	2922	11987
148	2942	11966
149	2964	11957
150	2987	11951
151	3008	11934
152	3030	11925
153	3053	11917
154	3084	11939
155	3093	11878
156	3115	11866
157	3138	11856
158	3161	11850
159	3186	11850
160	3210	11846
161	3237	11849
162	3259	11838
163	3269	11783
164	3291	11769
165	3313	11758
166	3331	11730
167	3352	11714
168	3372	11693
169	3390	11666
170	3407	11638
171	3429	11623
172	3447	11599
173	3469	11584
174	3488	11560
175	3505	11532
176	3526	11514
177	3550	11509
178	3572	11495
179	3592	11476
180	3611	11454
181	3631	11433
182	3653	11418
183	3677	11413
184	3701	11404
185	3721	11385
186	3742	11366
187	3765	11355
188	3785	11335
189	3810	11332
190	3834	11321
191	3855	11304
192	3880	11298
193	3906	11297
194	3933	11296
195	3960	11294
196	3985	11288
197	4007	11273
198	4031	11262
199	4055	11253
200	4078	11240
201	4101	11227
202	4129	11227
203	4149	11207
204	4167	11182
205	4186	11157
206	4208	11141
207	4229	11122
208	4248	11098
209	4275	11095
210	4298	11082
211	4321	11068
212	4349	11067
213	4370	11048
214	4391	11029
215	4414	11015
216	4432	10989
217	4451	10965
218	4473	10948
219	4496	10935
220	4519	10920
221	4538	10895
222	4555	10867
223	4575	10846
224	4594	10821
225	4613	10798
226	4633	10777
227	4651	10751
228	4672	10731
229	4691	10709
230	4710	10684
231	4729	10662
232	4751	10644
233	4774	10629
234	4793	10607
235	4816	10591
236	4841	10581
237	4859	10556
238	4881	10538
239	4900	10516
240	4926	10508
241	4953	10501
242	4978	10489
243	5000	10471
244	5021	10452
245	5043	10435
246	5077	10443
247	5097	10420
248	5118	10402
249	5141	10384
250	5164	10369
251	5181	10341
252	5201	10319
253	5216	10289
254	5238	10271
255	5255	10243
